name,address,category
№40,"Улица Желтоксан, 26, Астана",Продукты
Elit Et Market,"Улица Динмухамед Конаев, 14, Астана",Продукты
Salem Duken,"Проспект Ракымжан Кошкарбаев, 13, Астана",Продукты
Twix,"Улица Санжара Асфендиярова, 5, Астана",Продукты
888,"Улица Бухар жырау, 27, Астана",Продукты
Магнит,"Аль-Фараби проспект, 30/1, Астана",Продукты
Мaрс,"Улица Манатау, 11, Астана",Продукты
5,"Улица Касым Кайсенов, 2, Астана",Продукты
Гастроном,"Проспект Абылай хана, 24а, Астана",Продукты
Гранат,"ЖК АСИ 23/33, улица Акмешит, 11, Астана",Продукты
Ильяс,"Улица Туркестан, 28/2, Астана",Продукты
Fix price,"Проспект Женис, 67, Астана",Продукты
Дос Маркет,"Улица Санжара Асфендиярова, 3, Астана",Продукты
Агзам,"Улица Атамура, 10, Астана",Продукты
Асан маркет,"Улица Санжара Асфендиярова, 8, Астана",Продукты
galmart,"Улица Акмешит, 1 блок 3, Астана",Продукты
Bismart,"Проспект Мангилик Ел, 40/2, Астана",Продукты
Baiterek,"Е-67 улица, 6, Астана",Продукты
Magnum Express,"Улица Ондирис, 8а, Астана",Продукты
Канада,"Улица Анет баба, 2, Астана",Продукты
Балкантау,"Улица Балкантау, 94, Астана",Продукты
Айша,"Переулок Биши кайын, 1, Астана",Продукты
Kristall,"Проспект Женис, 75/2, Астана",Продукты
Авокадо,"Улица Алихан Бокейхан, 16/3, Астана",Продукты
Arcada market,"Улица Е-489, 6, Астана",Продукты
Бестерек,"ЖК Шахар, улица Шолпан Иманбаевой, 3, Астана",Продукты
Good Market,"Улица Алихан Бокейхан, 11/1, Астана",Продукты
Fix price,"Улица Мухтара Ауэзова, 42, Астана",Продукты
Kampit,"Улица Сыганак, 32, Астана",Продукты
Lemon,"Проспект Улы Дала, 33, Астана",Продукты
Камила,"Улица Толстого, 10, Астана",Продукты
Каспий,"Таха Хусейна улица, 2Б, Астана",Продукты
Миллениум,"Улица Калибек Куанышбаев, 9/3, Астана",Продукты
Знак,"Улица Алихан Бокейхан, 38, Астана",Продукты
Марс,"Улица Карасакал Еримбет, 14, Астана",Продукты
Ай,"Улица Чингиз Айтматов, 60, Астана",Продукты
Амаль,"Проспект Туран, 52/5, Астана",Продукты
Sisters`market,"Улица Шарль де Голль, 3/1, Астана",Продукты
Малина,"Улица Ахмет Байтурсынулы, 8, Астана",Продукты
Bai Market,"Улица Сыганак, 15/1, Астана",Продукты
Aqmol,"Улица Сарайшык, 5/4, Астана",Продукты
Ақшам,"Улица Илияс Омаров, 23, Астана",Продукты
Кристи,"Проспект Шакарим Кудайбердыулы, 17/4, Астана",Продукты
Айдана,"Таха Хусейна улица, 13, Астана",Продукты
AizMart,"Проспект Тауелсиздик, 34/2, Астана",Продукты
Жолдас,"Переулок Темиртау, 1, Астана",Продукты
Оптомаркет,"Улица Шаймерден Косшыгулулы, 16, Астана",Продукты
Алина,"Кабанбай батыр проспект, 4/2, Астана",Продукты
Арзан,"Улица Кордай, 99, Астана",Продукты
Учхоз,"Улица Армандастар, 2/4, Астана",Продукты
Aisha Market,"Аль-Фараби проспект, 33, Астана",Продукты
Fix price,"Улица Габидена Мустафина, 21/2, Астана",Продукты
Риза,"Улица Сыганак, 54, Астана",Продукты
Окей,"Улица Ахмет Байтурсынулы, 17, Астана",Продукты
Корзина,"Улица Шамши Калдаяков, 1, Астана",Продукты
Миллионер,"Проспект Туран, 57/3, Астана",Продукты
Ильяс,"Улица Гейдара Алиева, 2, Астана",Продукты
Балнур,"Улица Сарайшык, 7/1, Астана",Продукты
Sebet Market,"Улица Алихан Бокейхан, 8, Астана",Продукты
Зере,"Улица Е-36, 5, Астана",Продукты
Асия,"Проспект Мангилик Ел, 22, Астана",Продукты
София,"Улица Ахмет Байтурсынулы, 42/1, Астана",Продукты
Bravo,"Улица Шамши Калдаяков, 17, Астана",Продукты
Saka,"Улица Касым Аманжолов, 32/1, Астана",Продукты
Берекет,"Улица Кордай, 37а, Астана",Продукты
Blizzko,"Улица Санжара Асфендиярова, 2, Астана",Продукты
Femida,"Улица Е 181, 3, Астана",Продукты
Shukran,"Улица Толе би, 25/1, Астана",Продукты
Астықжан,"Улица Жумекен Нажимеденов, 26, Астана",Продукты
Fix price,"Проспект Нургиса Тлендиева, 12а, Астана",Продукты
Арыстан,"Мукан Тулебаев улица, 5, Астана",Продукты
Asyl Market,"Улица Кайым Мухамедханов, 21/2, Астана",Продукты
Абылайхан,"Улица Аманат, 28, Астана",Продукты
Satmart,"Кабанбай батыр проспект, 49а, Астана",Продукты
Tulip,"Улица Анатолий Храпатый, 14, Астана",Продукты
Аңсар,"Улица Кенжебек Кумисбеков, 2, Астана",Продукты
Тандем,"Переулок Бозинген, 16, Астана",Продукты
Нур Аспан,"Проспект Ракымжан Кошкарбаев, 37, Астана",Продукты
Самат,"Султанмахмута Торайгырова улица, 6/2, Астана",Продукты
Bismart,"Улица Сыганак, 11, Астана",Продукты
Магнат,"Проспект Тауелсиздик, 43/3, Астана",Продукты
Imran,"Улица Орынбор, 1, Астана",Продукты
Абай,"Улица Александр Бараев, 7Б, Астана",Продукты
Султан,"Проспект Туран, 43, Астана",Продукты
Кристалл,"Улица Санжара Асфендиярова, 10, Астана",Продукты
Арзан,"Улица Акбокен, 1/1, Астана",Продукты
На Бульваре,"Кабанбай батыр проспект, 58а корпус 1, Астана",Продукты
Баскару,"Улица Шамши Калдаяков, 26, Астана",Продукты
Expo market,"Проспект Мангилик Ел, 51, Астана",Продукты
Мясной магнат,"Улица Айтеке би, 16, Астана",Продукты
Амир,"Проспект Мангилик Ел, 41/4, Астана",Продукты
Опто-Маркет,"Улица Санжара Асфендиярова, 7, Астана",Продукты
Жусан,"Улица Кайым Мухамедханов, 4 блок B, Астана",Продукты
Ясмин,"Улица Толе би, 51, Астана",Продукты
22,"Улица Жумекен Нажимеденов, 52а, Астана",Продукты
Айдидар,"Улица Жумекен Нажимеденов, 16, Астана",Продукты
Ханша,"Улица Сыганак, 52/1, Астана",Продукты
Loveka,"Керей, Жанибек хандар улица, 28, Астана",Продукты
Байтас,"Проспект Тауелсиздик, 40, Астана",Продукты
Unimart,"Кабанбай батыр проспект, 48/9, Астана",Продукты
Гастроном Central Park,"Проспект Туран, 5/2, Астана",Продукты
Опто маркет№5,"Проспект Туран, 50/5, Астана",Продукты
Гурман,"Улица Сакена Сейфуллина, 11, Астана",Продукты
Триумф,"Проспект Мангилик Ел, 40, Астана",Продукты
Lime Market,"Шоссе Коргалжын, 25/2, Астана",Продукты
Arena market,"Проспект Туран, 50/2, Астана",Продукты
Big market,"Улица Сыганак, 24, Астана",Продукты
Рей маркет,"Улица Чингиз Айтматов, 40, Астана",Продукты
А2 маркет,"Улица Айнакол, 66, Астана",Продукты
Корона,"Кабанбай батыр проспект, 2, Астана",Продукты
7Dan,"Улица Сарайшык, 4, Астана",Продукты
Эдем,"Проспект Бауыржан Момышулы, 14, Астана",Продукты
Кадеш,"Улица Кеген, 12, Астана",Продукты
Ансар,"Кабанбай батыр проспект, 48/1, Астана",Продукты
Арзан,"Улица Алиби Жангельдин, 4, Астана",Продукты
Созак,"Проспект Тауелсиздик, 34/9, Астана",Продукты
Mango market,"Улица Бухар жырау, 31, Астана",Продукты
Орда,"Улица Беимбет Майлин, 31, Астана",Продукты
Жасико,"Улица Озбекали Жанибек, 20/2а, Астана",Продукты
Mangilik,"ЖК Мәңгілік, улица Алихан Бокейхан, 40, Астана",Продукты
Blizzko,"Улица Абикен Бектуров, 4/1, Астана",Продукты
