name,address,category
Caps Home,"Улица Кайрат Рыскулбеков, 29а, Астана",Пожить
Берекет,"Улица Сарайшык, 34, Астана",Пожить
Коктал,"Улица Зайсан, 23, Астана",Пожить
Гостевой дом,"Улица Балкантау, 83, Астана",Пожить
Dos,"Улица Кайрат Рыскулбеков, 16/2, Астана",Пожить
Prego apartments,Астана,Пожить
Hostel in Astana,"Кабанбай батыр проспект, 40, Астана",Пожить
Сая,"Улица Иманжусип Кутпанулы, 4, Астана",Пожить
Dos,"Улица Илияс Есенберлин, 30, Астана",Пожить
Алтын Ұя,"Кабанбай батыр проспект, 12, Астана",Пожить
Apartament Akzhol,Астана,Пожить
Золотой Квадрат,"Улица Малика Габдуллина, 10/6, Астана",Пожить
Пекин Палас Soluxe Hotel Astana,"Гостиница Пекин Палас, улица Сыганак, 45, Астана",Пожить
на Встрече,"Проспект Абылай хана, 27/4, Астана",Пожить
The Address,"Проспект Ракымжан Кошкарбаев, 10/1, Астана",Пожить
HotSpot,"Проспект Шакарим Кудайбердыулы, 32, Астана",Пожить
Host_apart_otel_astana,Астана,Пожить
Квартира Бар,Астана,Пожить
Анель,"Улица Балкантау, 56/2, Астана",Пожить
Гостевой дом,"Улица Жанкент, 157, Астана",Пожить
Sapar.kz Apartments,"Проспект Улы Дала, 33, Астана",Пожить
Салтанат,"Улица Илияс Есенберлин, 13, Астана",Пожить
Еско,"Улица Кордай, 42, Астана",Пожить
Qainar,"Переулок Аккент, 5а, Астана",Пожить
Компания по аренде коттеджа,"Улица Таскескен, 86, Астана",Пожить
House,"Переулок Баркытбел, 29, Астана",Пожить
Hostel Emes,"Улица Темирказык, 16, Астана",Пожить
АБ,"Улица Е 251, 4/7, Астана",Пожить
Саяхат,"Улица Таскескен, 73, Астана",Пожить
Квартирный Вопрос Kазахстан,"ЖК Северное сияние, улица Достык, 5, Астана",Пожить
HCF,"Проспект Туран, 34а, Астана",Пожить
Demal,"Улица Жумекен Нажимеденов, 39, Астана",Пожить
Bon Mary Apart Hotel,Астана,Пожить
White,"Проспект Бауыржан Момышулы, 19/2, Астана",Пожить
Chicago,"Улица Ушкултай Субханбердина, 22, Астана",Пожить
City Flat,"Кабанбай батыр проспект, 60/8, Астана",Пожить
LuxApartAstana,"Улица Достык, 5/2, Астана",Пожить
Apartcity.kz,"Проспект Туран, 34Б, Астана",Пожить
Aiala hotel,"Улица Шамши Калдаяков, 58, Астана",Пожить
Hostel House,"Улица Каныш Сатпаев, 18, Астана",Пожить
Alma home apartments,Астана,Пожить
Injir,"Альмукан Сембинов улица, 10/4, Астана",Пожить
Port inn,"Кабанбай батыр проспект, 119, Астана",Пожить
Квартирное бюро,"Гете улица, 10, Астана",Пожить
Ali,"Проспект Абылай хана, 32/2, Астана",Пожить
Kakdoma_astana,"Проспект Мангилик Ел, 51/2, Астана",Пожить
Уютный дом,Астана,Пожить
Асия,"Улица Буктырма, 38, Астана",Пожить
Тогжан,"Улица Лепсы, 14а, Астана",Пожить
Posutocno_at_home,"Улица Кайым Мухамедханов, 20, Астана",Пожить
Home club,"Улица Тарас Шевченко, 8/2, Астана",Пожить
Atlantis,"Улица Саркырама, 8, Косшы, Косшы городская администрация, Акмолинская область",Пожить
Банно-гостиничный комплекс,"Улица Жайык, 30, Астана",Пожить
Три Пескаря,"Улица Енлик-Кебек, 11/1, Астана",Пожить
Billionaire,"Улица Кенесары, 30, Астана",Пожить
Хостел,"ЖК Жастар, проспект Бауыржан Момышулы, 18/1, Астана",Пожить
Сапаржай,"Автовокзал, Гете улица, 5, Астана",Пожить
Квартирное бюро,"Улица Сауран, 15/3, Астана",Пожить
Astana Elite Apartament,"ЖК Северное сияние, улица Достык, 5, Астана",Пожить
Family House,Астана,Пожить
Квартирное бюро,"ЖК Шахар, улица Шолпан Иманбаевой, 3, Астана",Пожить
Лазурный берег,"Улица Айтеке би, 32, Косшы, Косшы городская администрация, Акмолинская область",Пожить
Savidan home,Астана,Пожить
Nazar apartments astana,Астана,Пожить
Квартирное бюро,"Гете улица, 4, Астана",Пожить
Тамаша,"Улица Манас, 7, Астана",Пожить
Aparts-Ast,"ЖК АСИ 23/33, улица Акмешит, 11, Астана",Пожить
Neboskreb apartments,Астана,Пожить
Dream House,Астана,Пожить
H7,"Амангельды Иманова улица, 12, Астана",Пожить
apart_astana_,Астана,Пожить
Astana_comfort_apartament,"Проспект Улы Дала, 71, Астана",Пожить
Alimir,Астана,Пожить
Real_home_astana,"Кабанбай батыр проспект, 48/5, Астана",Пожить
Astana Lux Apartments,Астана,Пожить
Хостел,"Улица Жанкент, 17/1, Астана",Пожить
Bon Mary Apart Hotel,Астана,Пожить
Ханшайым,"Улица Борили, 52, Астана",Пожить
AG Apartments,Астана,Пожить
Pogostim.kz,"Кабанбай батыр проспект, 43 блок А, Астана",Пожить
Центр недвижимости,Астана,Пожить
