name,address
Var-Var,"Проспект Туран, 3д, Астана"
Грузин Кузин,"Проспект Мангилик Ел, 50, Астана"
Korean House,"ТРЦ MEGA Silk Way, Кабанбай батыр проспект, 62, Астана"
Chez Georges,"Улица Туркестан, 28, Астана"
Kaspiana,"Проспект Ракымжан Кошкарбаев, 25, Астана"
Panda Lamian,"Улица Санжара Асфендиярова, 10, Астана"
Ozyurt,"Хан Шатыр, проспект Туран, 37, Астана"
Runa,"Улица Анет баба, 6, Астана"
Фудзи,"Проспект Мангилик Ел, 47 блок Е, Астана"
Tower Pub&Lord_Loft,"Проспект Улы Дала, 65, Астана"
Muller Bar & Grill,"Улица Малика Габдуллина, 12, Астана"
Mei Mei,"Улица Кайым Мухамедханов, 4/2, Астана"
Felice,"Проспект Сарыарка, 1, Астана"
Blackwood,"Проспект Улы Дала, 71, Астана"
Bao Sushi&Noodles Bar,"ТРЦ MEGA Silk Way, Кабанбай батыр проспект, 62, Астана"
Izumi tay,"Проспект Мангилик Ел, 16, Астана"
Okadzaki.kz,"Проспект Мангилик Ел, 56, Астана"
Panda Lamian,"Улица Шокан Уалиханов, 9, Астана"
Пятница,"Улица Мухтара Ауэзова, 6/1, Астана"
Garden Grille&Bar,"Отель Hilton Garden Inn Astana, Кабанбай батыр проспект, 15, Астана"
Steak&Brew,"Улица Санжара Асфендиярова, 8а, Астана"
Бочонок,"Проспект Республики, 33а, Астана"
Ted,"Проспект Улы Дала, 39, Астана"
Lugano,"Проспект Абая, 39, Астана"
Lord_Loft,"Улица Тарас Шевченко, 8, Астана"
Мясная лавка,"Проспект Абылай хана, 7, Астана"
Del Papa,"ТРЦ MEGA Silk Way, Кабанбай батыр проспект, 62, Астана"
Autograph Gold,"Проспект Туран, 15, Астана"
Farhi,"Улица Азербайжана Мамбетова, 3, Астана"
Lukum,"Проспект Мангилик Ел, 51/5, Астана"
Wall Street Restaurant,"Кабанбай батыр проспект, 60/20, Астана"
Перчик,"Хан Шатыр, проспект Туран, 37, Астана"
Tengovka,"Улица Мугалжар, 2/1а, Астана"
Terras,"Улица Кенесары, 12, Астана"
Shashlyk Pub,"Проспект Мангилик Ел, 53, Астана"
Istanbul,"Проспект Улы Дала, 56, Астана"
Грузин Кузин,"Кабанбай батыр проспект, 58Б, Астана"
Evergreen,"Улица Е 900, 4, Астана"
La Terrazza,"Дипломат, улица Динмухамед Конаев, 29/1, Астана"
Uchquduq,"ТЦ Green Mall, улица Сыганак, 17Б, Астана"
Наша Дача,"ТРЦ MEGA Silk Way, Кабанбай батыр проспект, 62, Астана"
Turandot,"Проспект Сарыарка, 40, Астана"
Aisa,"Улица Жанайдар Жирентаев, 17, Астана"
Provino Wine Bar&Store,"Улица Кенесары, 30, Астана"
Urban,"Проспект Улы Дала, 63, Астана"
Grande,"Улица Туркестан, 10, Астана"
Mumtaz,"Шоссе Коргалжын, 6, Астана"
AURA Verdant,"Проспект Мангилик Ел, 29, Астана"
Rio,"Улица Бейбитшилик, 5, Астана"
Rio,"Проспект Мангилик Ел, 53, Астана"
Мангал,"Проспект Мангилик Ел, 53, Астана"
Kөk-Saray Turan,"Улица Казыбек би, 9/1, Астана"
Азия,"Улица Каныш Сатпаев, 6, Астана"
Saperavi,"Проспект Абая, 53, Астана"
Bao Sushi&Noodles Bar,"Улица Е-489, 4, Астана"
Panda Lamian,"Проспект Сарыарка, 28, Астана"
Ali Baba,"Улица Азербайжана Мамбетова, 3, Астана"
Танцы и вино,"Проспект Мангилик Ел, 59, Астана"
Okadzaki.kz,"Улица Кайрат Рыскулбеков, 29, Астана"
Bayesta,"Улица Анет баба, 12, Астана"
Naya,"Проспект Улы Дала, 39, Астана"
Barosso,"ЖК Алан, проспект Улы Дала, 61, Астана"
Cloud9 dine&wine,"Улица Гейдара Алиева, 14, Астана"
Okadzaki.kz,"Улица Илияс Омаров, 2, Астана"
Sharbak,"Проспект Шакарим Кудайбердыулы, 88, Астана"
The India gate,"Улица Кенесары, 51, Астана"
Di Napoli,"ТЦ Green Mall, улица Сыганак, 17Б, Астана"
Leprechaun,"Кабанбай батыр проспект, 58Б корпус 2, Астана"
Artsy,"Улица Алихан Бокейхан, 1а, Астана"
Food Park,"ТРЦ MEGA Silk Way, Кабанбай батыр проспект, 62, Астана"
Guliani,"Улица Шыганак, 1, Астана"
Синьора Толстушка,"Улица Алихан Бокейхан, 38, Астана"
Сункар,"Альмукан Сембинов улица, 15, Астана"
Shifu,"ТЦ Green Mall, улица Сыганак, 17Б, Астана"
Royal Vip,"Улица Е-247, 20, Астана"
King`s Cross Pub,"Проспект Мангилик Ел, 53, Астана"
CrepeCafe,"Улица Е-899, 1/1, Астана"
Томирис,"Шоссе Коргалжын, 2а, Астана"
Пивоварофф,"Улица Бейбитшилик, 24, Астана"
Edezza,"Гостиница Comfort Hotel Astana, улица Космонавтов, 60, Астана"
ResPUBlika,"Улица Санжара Асфендиярова, 7, Астана"
Frau Muller,"Улица Темирбек Жургенов, 18, Астана"
Rumi,"ТРЦ MEGA Silk Way, Кабанбай батыр проспект, 62, Астана"
Express Cafe&Bar,"Проспект Туран, 44, Астана"
LauBrulée,"Проспект Туран, 52/6, Астана"
Mirvari,"Улица Ахмета Жубанова, 26, Астана"
Aralas,"Аль-Фараби проспект, 46р, Астана"
Два Грузина,"Проспект Республики, 40, Астана"
Mardin,"Проспект Улы Дала, 41/3, Астана"
Butcher’s,"Керей, Жанибек хандар улица, 14/2, Астана"
Paluba,"Улица Санжара Асфендиярова, 10, Астана"
DaTang,"Проспект Абая, 63, Астана"
Paul,"ТРЦ MEGA Silk Way, Кабанбай батыр проспект, 62, Астана"
Bay-bol,"Улица Каныш Сатпаев, 18, Астана"
Узбекхан,"Улица Кенесары, 4, Астана"
Manhattan Astana Hotel,"Проспект Тауелсиздик, 5, Астана"
Шашлыкоff,"Амангельды Иманова улица, 52, Астана"
7Kids,"Улица Сарайшык, 34, Астана"
Melly,"Улица Илияс Омаров, 23, Астана"
Метр,"Кабанбай батыр проспект, 49, Астана"
Draft,"Улица Бейбитшилик, 25, Астана"
Шишка Premium,"Улица Сыганак, 42, Астана"
Illusion,"Ресторан Luxor, Амангельды Иманова улица, 47/2, Астана"
Kubbe,"Отель Риксос Президент, улица Динмухамед Конаев, 7, Астана"
Arbat Grill,"Улица Мухтара Ауэзова, 12, Астана"
Baqsha,"Улица Санжара Асфендиярова, 2, Астана"
Shashlyk city,"Проспект Акжол, 92, Астана"
Дипломат,"Улица Ыкылас Дукенулы, 22, Астана"
Кафе Целинников,"Улица Кенесары, 32, Астана"
Lavarium,"Улица Бухар жырау, 25а, Астана"
Шығыс,"Улица Темирбек Жургенов, 18/2, Астана"
Pablo,"Улица Габит Мусрепов, 12а, Астана"
Ribeye,"Проспект Мангилик Ел, 60, Астана"
Райский уголок,"Улица Толстого, 11, Астана"
Mon Plaisir,"Кабанбай батыр проспект, 58Б корпус 5, Астана"
Ozyurt,"Улица Жумекен Нажимеденов, 26, Астана"
Resto Pesto,"Улица Алихан Бокейхан, 27, Астана"
